	temp_0001	temp_0002	temp_0003	temp_0004	temp_0005	temp_0006	temp_0007	temp_0008	temp_0009	temp_0010	temp_0011	temp_0012	temp_0013	temp_0014	temp_0015	temp_0016	temp_0017	temp_0018	temp_0019	temp_0020	temp_0021	temp_0022	temp_0023	temp_0024	temp_0025	temp_0026	temp_0027	temp_0028	temp_0029	temp_0030	temp_0031	temp_0032	temp_0033	temp_0034	temp_0035	temp_0036	temp_0037	temp_0038	temp_0039	temp_0040	temp_0041	temp_0042	temp_0043	temp_0044	temp_0045	temp_0046	temp_0047	temp_0048	temp_0049	temp_0050	temp_0051	temp_0052	temp_0053	temp_0054	temp_0055	temp_0056	temp_0059	temp_0060	temp_0061	temp_0062	temp_0063	temp_0064	temp_0065	temp_0066	temp_0067	temp_0068	temp_0069	temp_0070	temp_0071	temp_0072	temp_0073	temp_0074	temp_0075	temp_0076	temp_0077	temp_0078	temp_0079	temp_0080	temp_0081	temp_0082	temp_0083	temp_0084	temp_0085	temp_0086	temp_0087	temp_0088	temp_0089	temp_0090	temp_0091	temp_0092	temp_0093	temp_0094	temp_0095	temp_0096	temp_0097	temp_0098	temp_0099	temp_0100	temp_0101	temp_0102	temp_0103	temp_0104	temp_0105	temp_0106	temp_0107	temp_0108	temp_0109	temp_0110	temp_0111	temp_0112	temp_0113	temp_0114	temp_0115	temp_0116	temp_0117	temp_0118	temp_0119	temp_0120	temp_0121	temp_0122	temp_0123	temp_0124	temp_0125	temp_0126	temp_0127	temp_0128
DAS28	1.63195	2.77995	2.58632	1.49195	1.78595	2.03795	3.03363	4.0719	1.70967	2.23112	3.22503	3.78125	2.07995	1.60395	2.3646	4.17528	2.03498	2.02237	1.61795	1.57595	4.16226	4.24992	1.56195	1.47795	4.82866	2.86797	5.25838	3.78535	1.98407	2.34396	3.08191	2.48581	1.51995	1.50595	1.56195	2.31795	2.51825	2.44603	3.91157	3.75613	3.99752	2.30538	3.85795	2.17795	3.43912	3.01191	5.37692	5.46738	4.01303	6.09333	3.09699	3.06232	1.77195	2.06595	2.04747	2.24335	3.7535	3.33789	1.44995	1.47795	3.03195	3.37591	2.3806	1.60057	2.85895	3.21367	1.84195	1.81395	1.56195	1.63195	2.35995	4.66454	3.75212	4.08194	6.273	1.57595	3.03167	4.29387	3.19995	1.44995	1.71595	1.58995	4.64151	1.89795	3.9924	4.2695	3.94349	3.52084	3.64795	4.15565	4.05367	5.01995	3.66593	2.74193	3.72972	2.60693	2.33385	1.56195	7.00031	5.71524	1.47795	1.77195	1.95338	2.0925	2.9379	5.88191	5.09591	3.76766	4.96479	4.96276	1.50107	1.20703	3.4	4.99423	2.12837	3.20917	6.15442	6.60116	3.01795	3.40995	2.58067	1.56195	1.67395	2.45448	2.94037	2.1291
100000257	1.5674	1.8382	0.8284	0.7866	1.1446	0.9489	1.3206	1.9863	1.0318	0.8404	0.979	0.9148	0.9563	0.7273	1.2137	1.7009	1.0817	1.4051	0.9944	1.3295	0.7182	0.7203	0.64	0.6648	1.4278	1.2107	0.9831	3.7389	1.0542	1.0056	0.6909	0.769	1.1026	1.196	0.726	0.7409	1.5816	1.4161	0.9158	0.8349	2.4329	2.4419	0.8074	0.9235	1.2537	1.2244	2.8022	2.5481	1.1809	1.6955	1.5779	0.8286	1.3478	1.3566	0.5634	0.6075	0.8179	0.6907	0.9274	1.0322	0.7363	0.625	1.0221	1.2119	1.4668	1.5792	0.9272	1.2374	0.703	0.55	1.1624	1.1697	1.4794	1.1997	1.4288	0.7038	0.5266	0.5629	0.9305	0.8393	0.9446	1.2642	0.6457	0.8011	1.0169	1.0469	0.9682	0.8425	0.8726	0.9134	1.6121	1.5601	1.6976	1.7758	1.6626	1.5785	0.8179	0.8159	1.3695	0.701	0.9709	0.9252	0.6474	0.6092	0.648	1.0526	0.929	0.7985	6.1281	3.8848	0.6014	0.7235	1.5981	0.5245	0.5419	0.5822	1.9211	0.5332	0.7314	0.5741	1.4752	1.38	1.2404	1.2148	0.8474	1.1452
100020893	1.6196	1.659	1.0918	1.1037	0.7088	0.7041	1.535	1.9023	0.7334	0.7537	1.0572	0.9754	1.0312	0.9499	1.4105	1.5625	1.5283	1.4462	0.8972	0.941	1.0569	0.9985	1.2602	0.9901	1.5335	1.2451	0.9168	0.8568	1.1517	1.317	0.773	0.836	0.9405	1.4645	0.7016	0.792	1.1482	1.2475	0.9684	1.0606	0.8109	0.8554	1.0751	1.0541	1.1443	1.2202	1.463	1.3188	1.1095	0.9064	1.2627	1.0611	1.1525	1.0978	0.74	0.8546	1.1701	1.09	0.7997	0.8124	0.9812	0.9313	0.9216	1.0015	1.1347	0.854	1.273	1.4214	0.8392	0.8138	0.7485	0.7253	0.5958	0.9879	2.0141	1.2932	0.8888	0.9135	0.947	1.2642	0.7024	0.9623	0.8471	1.0099	1.0708	1.236	0.8243	0.9708	0.8678	0.8963	0.7548	0.9556	1.0826	1.018	1.1116	1.1308	1.253	1.258	0.8894	1.0425	0.9879	0.9351	1.211	1.2372	1.1961	1.2853	1.0333	0.9267	1.0484	1.3277	0.6797	0.5602	0.8834	0.8459	0.9026	0.7089	0.9841	0.8406	0.7359	0.7593	1.3329	1.0346	1.0769	1.0329	0.7231	0.821
1141	1.5611	0.9142	1.0053	0.7184	0.8651	1.4487	0.7401	0.9372	0.9487	0.6509	1.2408	0.7675	1.2047	1.0311	1.3518	1.3628	1.1261	1.2084	0.6127	0.6652	1.088	1.1497	1.2782	1.578	1.3536	0.7699	0.7717	0.8624	1.0192	1.4764	0.5482	0.6302	1.0725	1.4769	0.6621	0.8184	0.7635	0.6357	1.0035	0.5967	0.6337	0.4777	1.145	0.5164	0.7169	0.9075	1.0737	1.2915	1.2905	1.0854	1.1779	1.0626	1.1338	1.226	0.5843	0.6857	1.0627	0.7797	0.8782	1.3241	0.6011	0.4957	0.5549	0.4538	1.2618	0.8605	1.2686	1.8164	0.8325	1.1057	0.492	1.0968	0.4653	1.0014	3.1454	1.1382	0.8424	1.2588	0.8617	0.8842	0.8415	1.1968	1.5245	1.9074	1.4624	2.5146	0.7898	0.7648	1.0264	0.864	0.7051	0.9052	1.3654	2.0379	0.8128	0.716	1.556	1.5837	0.7754	1.0942	1.2942	0.9947	0.5608	0.7115	1.3263	1.2579	1.465	0.8891	0.7699	0.6307	1.6209	0.6508	0.8621	0.9286	1.9128	1.2203	1.4456	0.795	0.7477	0.8683	1.3053	1.5544	0.7859	0.8168	0.5919	0.8749
100020546	3.1064	3.6732	0.9929	1.5101	1.0475	1.186	2.872	2.3483	3.9485	4.8826	0.0881	0.1538	5.877	5.9659	0.6881	0.7667	9.1172	7.03	0.3167	0.0881	0.1791	0.1539	0.2165	0.2352	0.6127	0.2588	1.2919	1.1822	0.1201	0.1707	0.5024	0.5508	2.9248	3.4764	0.2433	0.2407	0.8091	1.1444	1.1668	0.7574	0.3332	0.3166	0.2458	0.2343	1.0919	1.0129	1.0278	0.9817	1.3712	0.4327	0.2815	0.2566	4.7655	6.0941	0.7098	0.8312	0.2953	0.2974	2.3008	2.2971	0.2581	0.3796	1.0647	1.0232	0.7252	0.6826	0.2289	0.2566	1.9707	2.1929	1.8184	1.5725	0.0881	0.0881	0.951	0.8776	0.4047	0.4089	3.4254	2.8004	0.5882	0.3871	1.0539	1.3125	1.0982	0.9417	0.4521	0.4756	1.5347	1.5921	0.7992	0.2631	0.6511	0.751	0.1669	0.1437	1.0183	1.394	0.6311	0.6901	2.1554	1.2584	2.7235	2.4046	3.4942	3.07	1.1496	1.3783	0.1279	0.0936	0.21	0.1556	1.0071	0.5371	1.3611	1.2915	1.6464	0.0881	2.1366	2.4317	1.9558	0.8939	0.9299	1.4759	3.0758	4.2195
100001254	1.9405	1.5269	1.2196	1.0602	0.9178	0.9168	0.6465	0.5345	1.1062	0.792	0.5075	0.885	1.5791	1.5543	1.2692	1.1566	0.9952	1.3362	0.895	1.1495	1.0668	1.1837	1.1769	1.4265	0.9645	0.7344	1.1747	0.6851	0.7054	1.0891	1.1799	1.3325	0.9338	0.9452	0.723	0.8825	1.4137	1.0354	1.2765	1.2107	1.0048	1.1608	0.7352	0.8751	0.9677	1.4158	1.4853	1.8074	1.0482	0.8468	1.4486	1.3799	1.3008	1.5455	0.9902	0.6134	1.016	1.016	1.7224	1.4361	1.0741	0.8716	0.7482	1.2272	1.4857	1.0274	2.1496	2.824	0.9748	1.0625	0.745	0.7691	0.8204	1.4194	1.2342	1.3193	0.6146	0.5913	1.0225	1.3508	0.8106	1.3475	0.9375	1.0917	0.9142	1.0046	0.5188	1.1017	0.9948	0.9954	0.3901	0.6129	1.0382	1.4944	0.8369	0.9524	1.1736	1.0071	1.0603	1.3553	0.9729	0.9571	0.9114	1.0183	1.0926	0.9514	0.9059	0.8097	0.5597	0.7508	0.9939	0.9235	0.7224	0.6905	1.2906	0.8499	0.7292	0.7259	0.9741	0.8948	1.0058	1.0312	1.1506	1.0894	0.8493	1.1287
100021198	3.2913	1.4981	1.4588	1.1417	0.4196	1.2109	0.6576	0.1343	1.2279	0.7805	0.2195	0.4997	1.4175	1.4921	2.8067	2.159	0.8309	1.2739	0.7974	0.9345	1.8421	1.2688	1.8327	1.2535	2.083	1.0455	0.6992	0.7699	0.6539	0.9465	0.6766	0.7595	0.8825	1.0916	0.1343	0.5857	1.529	0.7246	0.8141	0.7764	0.7008	0.7326	1.1928	1.3771	0.9413	1.2426	0.5965	0.7464	0.9616	1.0691	2.1289	1.2646	1.5092	1.8544	0.5664	0.7786	1.0256	0.797	1.2309	1.2249	0.8821	0.8213	1.3689	1.3544	1.8949	1.4005	0.7987	1.2477	1.1829	0.9744	0.7785	0.7683	0.5807	0.8679	3.9845	1.4022	0.407	1.1099	1.4025	0.7596	0.4353	1.173	1.1042	1.089	2.0487	3.197	0.508	1.1453	0.6337	0.5947	0.7676	0.7988	1.6915	1.5875	1.047	0.6602	1.0033	1.1498	1.0316	1.2425	1.2905	1.1909	0.8054	0.9565	0.7192	1.1171	1.5667	0.8941	1.1633	0.5055	0.8086	0.1343	0.366	0.3191	1.3712	0.5075	0.954	0.1343	1.1539	0.5615	0.7363	1.2701	0.8544	1.1469	0.1567	0.9495
100001092	2.6548	1.4426	0.3553	0.1889	1.5706	1.0563	0.1368	0.8559	2.3907	1.6146	0.1142	0.0338	1.4645	2.4561	3.6736	0.7899	0.3356	0.2253	2.6842	1.5664	0.7018	0.465	0.5433	0.4477	2.9265	1.3686	1.5781	0.4204	0.2054	0.598	2.7614	1.5173	4.1422	4.0461	5.4975	2.8815	1.0003	0.6482	1.653	4.4281	0.318	0.2219	1.0039	0.6148	1.8313	2.7575	2.1625	1.1596	0.9912	1.7626	0.9961	0.6886	3.7265	4.1986	0.424	0.5095	0.5005	1.5256	4.0476	4.988	2.4403	0.5561	0.5604	0.2734	2.8317	1.4917	0.1527	0.2549	0.5653	0.2153	1.2796	1.1636	1.0448	1.2621	0.1637	0.3229	0.3867	0.7323	1.0681	0.2025	4.2909	6.4799	1.1291	1.5478	0.0769	0.1132	0.2508	0.1282	2.8031	2.5553	0.364	0.256	1.8566	1.0452	0.1339	0.0598	0.3782	0.4405	0.5012	0.9029	2.7122	2.0235	0.3978	0.1405	1.0941	0.9997	1.3738	1.1288	0.0813	0.1058	1.4139	1.4116	0.0519	0.052	2.2786	0.8498	0.1307	0.147	2.9496	0.6488	2.1956	2.0695	1.498	1.2991	0.8689	0.3565
100003151	1.8976	1.8922	1.3725	1.1591	1.0706	0.7554	1.4819	2.0291	0.5521	1.0331	0.6084	1.0448	1.3144	0.9703	1.3289	1.0753	1.376	1.4717	1.145	1.6421	0.9567	0.7239	1.1997	1.2136	0.8846	1.0822	1.1196	1.0841	0.7841	0.9286	1.4208	0.8797	0.9929	0.9136	1.1381	1.166	0.9674	1.4308	0.9549	1.3747	1.1192	0.8265	0.927	1.9842	1.3189	1.2866	0.5596	0.7275	0.5425	0.5618	1.0324	0.8639	0.9521	0.9041	1.1869	1.5238	0.7801	1.0058	1.2209	1.1283	1.063	1.3431	0.9343	1.8412	0.8111	0.9035	1.8196	1.6932	0.9555	0.8969	1.1093	0.6007	1.4349	1.0375	0.7193	1.0107	0.784	1.0663	1.0913	1.2847	0.7378	0.4913	0.7543	0.5951	0.771	0.95	0.5306	0.9695	0.5485	0.5963	0.9633	0.9942	0.8071	0.752	0.9647	1.6503	0.8659	1.003	1.4248	1.0223	1.1241	1.0223	1.2525	1.2852	0.8614	1.1191	0.8955	1.0603	1.0526	0.8924	0.9357	1.746	0.8689	0.8778	0.9545	1.0345	0.9646	0.8246	0.8827	1.1501	1.1406	0.9455	0.7096	0.8202	0.9824	0.9642
803	0.7916	1.3987	0.5076	0.6989	0.6185	0.7172	1.7924	1.7206	0.9012	1.4226	3.1233	2.6482	0.7043	0.8262	1.2596	1.5005	0.8975	1.1992	1.046	1.272	0.847	0.704	0.6231	0.6718	0.8232	1.5305	0.628	0.7634	1.1536	1.4992	0.7606	0.7176	0.8522	1.2328	0.8609	0.6497	1.3369	1.5833	0.6112	0.9053	0.9458	1.097	1.1806	1.1063	1.3368	1.3139	1.2954	0.9726	1.0542	1.1699	1.8777	1.0795	1.1287	0.9644	0.8699	1.229	0.8896	1.3559	0.8627	1.121	1.4909	1.629	0.6665	0.4363	1.002	0.8471	0.8349	0.9286	0.917	1.1935	1.437	1.8283	1.312	1.8244	0.9409	0.559	0.7772	0.5529	1.298	1.3348	1.1704	0.5541	0.9017	0.6522	1.5462	1.2944	1.2886	0.8961	1.0698	0.5589	0.6088	0.8811	1.0356	0.5843	1.2193	1.0911	1.0878	0.8504	1.4273	1.3793	0.8595	1.2282	1.2529	1.3406	0.7984	0.7808	0.8381	1.2296	0.9331	1.5068	0.8452	0.8312	0.9426	1.5211	0.7728	1.4493	1.1726	1.4229	0.8259	1.1772	1.4833	0.8153	0.9338	1.4282	1.8169	1.2278
